model,task,mean_normalized_performance,se_normalized_performance
nocall,0,-0.5452671851095593,0.016987175345622166
base,0,1.0,0.03450965781823851
human,0,1.0913205674320408,0.027620476698358844
llm,0,0.522782202734974,0.024857705364109427
zeroshot_llm,0,0.1560647142745171,0.07580592268845796
COT_zeroshot_llm,0,0.2972059536947453,0.04865632652356413
COT_llm,0,0.6918501632713616,0.04758540419348518
nocall,1,-0.5923213861224399,0.03187631045476684
base,1,1.0,0.03396082921501342
human,1,1.148135590670372,0.059141736518256674
llm,1,1.0010993020484997,0.06844451290437917
zeroshot_llm,1,0.8551367255658443,0.0482712555658962
COT_zeroshot_llm,1,0.507103358168728,0.10157776937053328
COT_llm,1,0.9697486039106976,0.03974733202631712
nocall,2,-0.5735171676625512,0.04345676595186278
base,2,1.0,0.058722240244504814
human,2,1.1889067653017042,0.061459563917298315
llm,2,0.08488046115980455,0.08335444950124167
zeroshot_llm,2,0.5143255276956707,0.10851293803916993
COT_zeroshot_llm,2,1.014126706168377,0.05276637598954155
COT_llm,2,0.8223911214944684,0.11647965049083665
nocall,3,-0.4967260762866972,0.012110881882234104
base,3,1.0,0.026120933905427614
human,3,0.9191873799971667,0.02697016309203892
llm,3,1.0108338544522584,0.02900632623440364
zeroshot_llm,3,0.45528898448378435,0.05689105615191143
COT_zeroshot_llm,3,1.058424094572937,0.023174155599712337
COT_llm,3,0.9934360657198374,0.033903244951209714
nocall,4,-0.555053866629294,0.04553828521096272
base,4,1.0,0.03642461094302614
human,4,0.8530574258016514,0.04195446087345372
llm,4,1.1294547539385529,0.05776621845655232
zeroshot_llm,4,0.7969908777325333,0.04882114316792499
COT_zeroshot_llm,4,0.6739395355991363,0.03485540592385477
COT_llm,4,0.9083999818676154,0.05147205138370211
nocall,5,-1.2106679283220092,0.2708461791481828
base,5,1.0,0.3867330394014162
human,5,2.1809066248003024,0.38688315780749144
llm,5,0.313514533172595,0.3183770434940025
zeroshot_llm,5,1.7697281415644297,0.36203355130541687
COT_zeroshot_llm,5,0.6244505733660691,0.2535735200065755
COT_llm,5,1.7596094257887411,0.32836089923354583
nocall,6,-0.4531878313163737,0.03192782335776666
base,6,1.0,0.029318522688491257
human,6,0.8373371454687956,0.04947794279812147
llm,6,0.632104280391994,0.05838259122571969
zeroshot_llm,6,0.6099866404486759,0.038845863974865134
COT_zeroshot_llm,6,0.5160841613372059,0.03270434961654665
COT_llm,6,0.4559843752448196,0.09198483103716139
nocall,7,-1.3313272681282886,0.13403638220576
