model,task,mean_normalized_performance,se_normalized_performance
nocall,0,-0.1551434785698029,0.5900339253065926
base,0,1.0,0.5365934290068017
human,0,0.9300981146446256,0.5527831992246278
llm,0,-2.3731458612157446,0.045099771549384854
zeroshot_llm,0,1.0286234016121638,0.5483659861476263
COT_zeroshot_llm,0,-1.6930850169529503,0.03348855823423564
COT_llm,0,0.9016329739361724,0.5472747662093992
nocall,1,0.3406063160110352,0.9014026049280521
base,1,1.0,0.8705116465867117
human,1,-4.756941480357441,1.3577050351251245
llm,1,3.4723220688713674,0.4942468454059471
zeroshot_llm,1,1.0279325280728433,0.8717503188047161
COT_zeroshot_llm,1,0.36997109155286184,2.4100237298089615
COT_llm,1,0.45928232343912934,0.849282530250934
nocall,2,-1.4228712341499405,0.14031336463819583
base,2,1.0,0.2313566511332981
human,2,-0.05144145470012092,0.0831185870489153
llm,2,1.4279868333249852,0.17562097521144224
zeroshot_llm,2,1.871774987077032,0.20721325432204166
COT_zeroshot_llm,2,1.2447954993639136,0.21370366967064708
COT_llm,2,2.6370087122502506,0.14776017216407186
nocall,3,-1.3050299014317865,0.03144615986544512
base,3,1.0,0.1709625232350535
human,3,-0.056015578389346295,0.15809045982544018
llm,3,3.0969315335540264,0.06165211511362609
zeroshot_llm,3,2.981930326847045,0.06343378832995927
COT_zeroshot_llm,3,3.2478691752647837,0.03631214171524002
COT_llm,3,3.1672036934006482,0.0603313870922148
nocall,4,-0.21017905662246109,0.3459990937107865
base,4,1.0,0.36935234946479967
human,4,1.0286882734743483,0.3669513501197458
llm,4,-0.5839302048834417,0.016128690805243776
zeroshot_llm,4,1.1483167917884545,0.3682900779428584
COT_zeroshot_llm,4,6.590114789842547,1.4807379501562978
COT_llm,4,1.0312499496834295,0.36689032748234296
nocall,5,-30.315585135884383,4.573952555031934
base,5,1.0,4.5522515956431056
human,5,-12.759044935109756,5.655830038081968
llm,5,24.359841696535145,4.625676871686115
zeroshot_llm,5,9.390556750298616,8.207741627639628
COT_zeroshot_llm,5,45.024463787904345,6.121548838227892
COT_llm,5,6.216248506571077,4.524574483615185
nocall,6,0.040287083852473045,0.31331569600454995
base,6,1.0,0.2451174885087922
human,6,-0.9394101804219052,0.46106419953466077
